Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\AlreadyExistsException.cs,74,89,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\DirectoryNotEmptyException.cs,70,93,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\DirectoryNotEmptyException.cs,70,93,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Path Class\Path.Helpers.cs,471,12,T:System.Uri,,,,,"if (newBufferString.StartsWith(Uri.UriSchemeHttp + "":"", StringComparison.OrdinalIgnoreCase) ||                  newBufferString.StartsWith(Uri.UriSchemeFile + "":"", StringComparison.OrdinalIgnoreCase))                 throw new ArgumentException(path, ""path"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Path Class\Path.Helpers.cs,471,12,T:System.Uri,,,,,"if (newBufferString.StartsWith(Uri.UriSchemeHttp + "":"", StringComparison.OrdinalIgnoreCase) ||                  newBufferString.StartsWith(Uri.UriSchemeFile + "":"", StringComparison.OrdinalIgnoreCase))                 throw new ArgumentException(path, ""path"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Path Class\Path Core Methods\Path.IsUncPathCore.cs,45,9,T:System.Uri,,,,,"return Uri.TryCreate(path, UriKind.Absolute, out uri) && uri.IsUnc;"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Path Class\Path Core Methods\Path.IsUncPathCore.cs,45,9,"M:System.Uri.TryCreate(System.String,System.UriKind,System.Uri@)",,,,,"return Uri.TryCreate(path, UriKind.Absolute, out uri) && uri.IsUnc;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\File Class\File Core Methods\File.GetHashCore.cs,71,18,T:System.Security.Cryptography.RIPEMD160,,,,,using (var hType = RIPEMD160.Create())                       hash = hType.ComputeHash(fs);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\File Class\File Core Methods\File.GetHashCore.cs,71,18,T:System.Security.Cryptography.RIPEMD160,,,,,using (var hType = RIPEMD160.Create())                       hash = hType.ComputeHash(fs);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\File Class\File Core Methods\File.GetHashCore.cs,71,18,M:System.Security.Cryptography.RIPEMD160.Create,,,,,using (var hType = RIPEMD160.Create())                       hash = hType.ComputeHash(fs);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\NativeError.cs,113,15,T:System.Security.Policy.PolicyException,,,,,throw new PolicyException(errorMessage);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\NativeError.cs,113,15,M:System.Security.Policy.PolicyException.#ctor(System.String),,,,,throw new PolicyException(errorMessage);
